anime_id,title,type,image_url,score,premiered,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Kids,Shounen,Romance,Slice of Life,School,Music,Supernatural,Hentai,Mecha,Historical,Magic,Seinen,Ecchi,Shoujo,Sports,Mystery,Parody,Super Power,Military,Space,Horror,Demons,Harem,Martial Arts,Dementia,Game,Psychological,Police,Samurai,Vampire
20583,Haikyuu!!,TV,https://cdn.myanimelist.net/images/anime/7/76014.jpg,8.65,Spring 2014,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7785,Yojouhan Shinwa Taikei,TV,https://cdn.myanimelist.net/images/anime/10/50457.jpg,8.65,Spring 2010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35839,Sora yori mo Tooi Basho,TV,https://cdn.myanimelist.net/images/anime/6/89879.jpg,8.65,Winter 2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22135,Ping Pong The Animation,TV,https://cdn.myanimelist.net/images/anime/10/58041.jpg,8.65,Spring 2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21329,Mushishi Special: Hihamukage,Special,https://cdn.myanimelist.net/images/anime/10/59315.jpg,8.64,,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32983,Natsume Yuujinchou Go,TV,https://cdn.myanimelist.net/images/anime/11/81755.jpg,8.64,Fall 2016,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4282,Kara no Kyoukai 5: Mujun Rasen,Movie,https://cdn.myanimelist.net/images/anime/8/9246.jpg,8.63,,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,https://cdn.myanimelist.net/images/anime/3/79156.jpg,8.63,Spring 2016,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28735,Shouwa Genroku Rakugo Shinjuu,TV,https://cdn.myanimelist.net/images/anime/2/77907.jpg,8.63,Winter 2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5300,Zoku Natsume Yuujinchou,TV,https://cdn.myanimelist.net/images/anime/4/79738.jpg,8.62,Winter 2009,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,https://cdn.myanimelist.net/images/anime/12/19698.jpg,8.62,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2921,Ashita no Joe 2,TV,https://cdn.myanimelist.net/images/anime/3/45028.jpg,8.6,Fall 1980,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26295,Haha Uzura,OVA,https://cdn.myanimelist.net/images/anime/5/66233.jpg,8.6,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3297,Aria The Origination,TV,https://cdn.myanimelist.net/images/anime/6/77623.jpg,8.59,Winter 2008,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6114,Rainbow: Nisha Rokubou no Shichinin,TV,https://cdn.myanimelist.net/images/anime/9/72697.jpg,8.59,Spring 2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33352,Violet Evergarden,TV,https://cdn.myanimelist.net/images/anime/1329/90618.jpg,8.59,Winter 2018,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35843,Gintama.: Porori-hen,TV,https://cdn.myanimelist.net/images/anime/11/88325.jpg,8.59,Fall 2017,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,https://cdn.myanimelist.net/images/anime/3/50317.jpg,8.58,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,https://cdn.myanimelist.net/images/anime/1337/91798.jpg,8.58,Spring 2018,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,https://cdn.myanimelist.net/images/anime/4/28803.jpg,8.57,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12431,Uchuu Kyoudai,TV,https://cdn.myanimelist.net/images/anime/7/37573.jpg,8.56,Spring 2012,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33255,Saiki Kusuo no Ψ-nan (TV),TV,https://cdn.myanimelist.net/images/anime/11/80167.jpg,8.56,Summer 2016,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31043,Boku dake ga Inai Machi,TV,https://cdn.myanimelist.net/images/anime/10/77957.jpg,8.56,Winter 2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,https://cdn.myanimelist.net/images/anime/11/75045.jpg,8.56,Winter 2015,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10408,Hotarubi no Mori e,Movie,https://cdn.myanimelist.net/images/anime/8/38229.jpg,8.55,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
